datetime,mean_t,min_t,max_t,homeid
2018-01-08,183.18082491122644,176.0,189.0,281
2018-01-09,184.51149020160722,177.0,190.0,281
2018-01-10,182.24645646514318,172.0,187.0,281
2018-01-11,180.8981547704191,172.0,189.0,281
2018-01-12,179.64412981228125,171.0,186.0,281
2018-01-13,181.3453288173864,171.0,188.0,281
2018-01-14,176.28154652315536,157.0,185.0,281
2018-01-15,175.10129951463912,156.0,181.0,281
2018-01-16,175.00652760039733,156.0,185.0,281
2018-01-17,175.5644817289919,159.0,186.0,281
2018-01-18,179.05067043048695,161.0,188.0,281
2018-01-19,180.3420866864323,171.0,186.0,281
2018-01-20,173.2612274368231,154.0,188.0,281
2018-01-21,177.7454233409611,164.0,193.0,281
2018-01-22,181.8958245466048,170.0,189.0,281
2018-01-23,179.4789732386674,158.0,185.0,281
2018-01-24,166.73218527315913,152.0,177.0,281
2018-01-25,170.04997025580013,151.0,177.0,281
2018-01-26,170.87221095334687,161.0,181.0,281
2018-01-27,169.70453008789724,155.0,183.0,281
2018-01-28,169.38335914402364,155.0,177.0,281
2018-01-29,165.65268863214948,154.0,174.0,281
2018-01-30,171.2021742199633,161.0,183.0,281
2018-01-31,169.46678837241961,158.0,179.0,281
2018-02-01,166.61977990970655,155.0,176.0,281
2018-02-02,169.14594746453153,159.0,179.0,281
2018-02-03,170.76470588235293,164.0,180.0,281
2018-02-04,,,,281
2018-02-05,,,,281
2018-02-06,,,,281
2018-02-07,,,,281
2018-02-08,,,,281
2018-02-09,,,,281
2018-02-10,,,,281
2018-02-11,,,,281
2018-02-12,,,,281
2018-02-13,,,,281
2018-02-14,181.8576874205845,176.0,188.0,281
2018-02-15,183.57062937062938,174.0,194.0,281
2018-02-16,174.9578104716573,164.0,186.0,281
2018-02-17,160.5789600385171,154.0,170.0,281
2018-02-18,165.35772011909825,160.0,169.0,281
2018-02-19,168.00551470588235,160.0,175.0,281
2018-02-20,162.63819669012744,155.0,168.0,281
2018-02-21,162.021490803485,156.0,167.0,281
2018-02-22,159.2929553264605,149.0,166.0,281
2018-02-23,158.642719196601,150.0,165.0,281
2018-02-24,155.1499636010677,140.0,167.0,281
2018-02-25,159.5607704829083,152.0,165.0,281
2018-02-26,159.17436766991662,150.0,166.0,281
2018-02-27,153.22258522727273,144.0,161.0,281
2018-02-28,151.12693140794224,142.0,160.0,281
2018-03-01,155.3416050686378,147.0,160.0,281
2018-03-02,156.30644707207207,150.0,162.0,281
2018-03-03,156.8134465675867,145.0,163.0,281
2018-03-04,157.19925351708298,149.0,162.0,281
2018-03-05,156.66609808102345,146.0,163.0,281
2018-03-06,158.1465432618146,147.0,168.0,281
2018-03-07,148.4072722167626,139.0,161.0,281
2018-03-08,149.52918014343973,136.0,164.0,281
2018-03-09,143.24593352192363,127.0,152.0,281
2018-03-10,142.02251184834122,129.0,154.0,281
2018-03-11,145.4618243243243,136.0,155.0,281
2018-03-12,149.34754923737597,137.0,162.0,281
2018-03-13,151.6851745024517,141.0,168.0,281
2018-03-14,154.36901165299957,140.0,167.0,281
2018-03-15,146.98020118154238,134.0,159.0,281
2018-03-16,146.93483015016767,128.0,167.0,281
2018-03-17,150.05822862396568,132.0,162.0,281
2018-03-18,136.01393049730376,117.0,165.0,281
2018-03-19,140.69248154286575,116.0,163.0,281
2018-03-20,147.13584117032394,135.0,163.0,281
2018-03-21,146.46279715961717,131.0,163.0,281
2018-03-22,153.41629230308476,149.0,161.0,281
2018-03-23,161.75660639777468,153.0,173.0,281
2018-03-24,155.78614927064154,145.0,170.0,281
2018-03-25,154.72077449410395,144.0,174.0,281
2018-03-26,154.03029871977242,142.0,169.0,281
2018-03-27,157.09195578753454,146.0,168.0,281
2018-03-28,153.4499778989244,140.0,162.0,281
2018-03-29,144.02632928705762,126.0,158.0,281
2018-03-30,139.53773584905662,128.0,148.0,281
2018-03-31,139.4776864357017,126.0,152.0,281
2018-04-01,145.48248749106506,127.0,170.0,281
2018-04-02,143.0880677444188,133.0,155.0,281
2018-04-03,139.39708613055276,124.0,159.0,281
2018-04-04,139.38783269961976,128.0,149.0,281
2018-04-05,137.9137316412377,127.0,149.0,281
2018-04-06,140.1933033202026,135.0,151.0,281
2018-04-07,151.1276627001616,136.0,183.0,281
2018-04-08,160.15159271899887,149.0,173.0,281
2018-04-09,163.1964892412231,155.0,174.0,281
2018-04-10,142.71784660766963,132.0,162.0,281
2018-04-11,140.49543177129385,136.0,159.0,281
2018-04-12,139.41827138378864,134.0,157.0,281
2018-04-13,133.3050941306755,131.0,148.0,281
2018-04-14,150.37772957339118,137.0,165.0,281
2018-04-15,155.99121164097392,148.0,163.0,281
2018-04-16,153.7379409647228,141.0,168.0,281
2018-04-17,162.11327262693158,156.0,169.0,281
2018-04-18,165.85650802752295,160.0,173.0,281
2018-04-19,181.5828800458059,163.0,202.0,281
2018-04-20,182.1075577226445,172.0,193.0,281
2018-04-21,177.46877697841725,161.0,198.0,281
2018-04-22,179.42846985210466,174.0,189.0,281
2018-04-23,166.27995457126633,161.0,174.0,281
2018-04-24,162.60750932835822,157.0,166.0,281
2018-04-25,155.34374556297033,147.0,164.0,281
2018-04-26,153.540333993773,143.0,163.0,281
2018-04-27,151.8971412556054,139.0,165.0,281
2018-04-28,155.99957716701903,147.0,171.0,281
2018-04-29,156.19179265658747,147.0,172.0,281
2018-04-30,154.84552495697073,137.0,175.0,281
2018-05-01,162.7608536763631,151.0,171.0,281
2018-05-02,161.68247272727274,157.0,171.0,281
2018-05-03,153.4729064039409,147.0,160.0,281
2018-05-04,164.4869484151647,155.0,175.0,281
2018-05-05,182.85203376822716,166.0,207.0,281
2018-05-06,199.20830371107635,181.0,224.0,281
2018-05-07,209.89269895699385,194.0,232.0,281
2018-05-08,213.68525443017396,207.0,221.0,281
2018-05-09,188.48444269397402,177.0,207.0,281
2018-05-10,,,,281
2018-05-11,165.3943460368581,162.0,177.0,281
2018-05-12,177.22084413180303,161.0,200.0,281
2018-05-13,191.00382978723405,172.0,213.0,281
2018-05-14,196.22321686399076,176.0,222.0,281
2018-05-15,196.7973962571196,184.0,215.0,281
2018-05-16,191.3782178217822,170.0,217.0,281
2018-05-17,195.82291296625223,178.0,216.0,281
2018-05-18,193.71882915845765,174.0,217.0,281
2018-05-19,202.1157733537519,184.0,221.0,281
2018-05-20,202.5316199376947,196.0,210.0,281
2018-05-21,211.07722554262347,193.0,232.0,281
2018-05-22,200.42067063434462,191.0,213.0,281
2018-05-23,188.78663759539012,179.0,202.0,281
2018-05-24,186.14988525530694,172.0,207.0,281
2018-05-25,192.1165264327671,175.0,209.0,281
2018-05-26,200.75673630033302,186.0,218.0,281
2018-05-27,206.84866008462623,189.0,235.0,281
2018-05-28,219.30976954616145,200.0,249.0,281
2018-05-29,216.19647865378622,203.0,233.0,281
2018-05-30,214.24647375309002,203.0,225.0,281
2018-05-31,213.43698797280808,201.0,233.0,281
2018-06-01,220.15778912805544,206.0,231.0,281
2018-06-02,222.22585249801745,212.0,231.0,281
2018-06-03,216.17170133941295,210.0,223.0,281
2018-06-04,197.58664792691496,188.0,210.0,281
2018-06-05,197.78015181332583,183.0,218.0,281
2018-06-06,205.01756358016019,184.0,237.0,281
2018-06-07,205.8667326172979,193.0,227.0,281
2018-06-08,206.43640443135604,192.0,227.0,281
2018-06-09,203.64423483035338,195.0,212.0,281
2018-06-10,208.14074595355385,197.0,222.0,281
2018-06-11,206.1773288439955,199.0,215.0,281
2018-06-12,198.34176503653737,191.0,209.0,281
2018-06-13,195.2515440763616,188.0,202.0,281
2018-06-14,196.0794701986755,190.0,207.0,281
2018-06-15,190.7555399719495,182.0,201.0,281
2018-06-16,183.87648788685058,178.0,193.0,281
2018-06-17,177.0552672184037,165.0,188.0,281
2018-06-18,,,,281
2018-06-19,178.73622741295725,164.0,185.0,281
2018-06-20,171.87563095905776,164.0,185.0,281
2018-06-21,172.4905422446406,153.0,209.0,281
2018-06-22,189.6171196413561,167.0,216.0,281
2018-06-23,199.97208584654229,180.0,224.0,281
2018-06-24,219.0524985962942,196.0,258.0,281
2018-06-25,231.7905803195963,212.0,252.0,281
2018-06-26,226.58290046328793,213.0,239.0,281
2018-06-27,223.5021055586749,211.0,250.0,281
2018-06-28,234.98107653490328,217.0,260.0,281
2018-06-29,226.7972498947664,217.0,244.0,281
2018-06-30,221.09016739344491,207.0,249.0,281
