,datetime,gas (kWh),homeid
0,2018-02-20,5.933,299
1,2018-02-21,21.603,299
2,2018-02-22,23.288,299
3,2018-02-23,30.005,299
4,2018-02-24,31.113,299
5,2018-02-25,16.682,299
6,2018-02-26,36.048,299
7,2018-02-27,47.23,299
8,2018-02-28,49.79,299
9,2018-03-01,47.689,299
10,2018-03-02,53.505,299
11,2018-03-03,43.211,299
12,2018-03-04,39.857,299
13,2018-03-05,37.162,299
14,2018-03-06,33.464,299
15,2018-03-07,36.269,299
16,2018-03-08,26.634,299
17,2018-03-09,11.977,299
18,2018-03-10,28.876,299
19,2018-03-11,7.498,299
20,2018-03-12,28.434,299
21,2018-03-13,27.76,299
22,2018-03-14,27.646,299
23,2018-03-15,26.299,299
24,2018-03-16,37.163,299
25,2018-03-17,48.582,299
26,2018-03-18,46.002,299
27,2018-03-19,30.675,299
28,2018-03-20,17.572,299
29,2018-03-21,26.982,299
30,2018-03-22,24.296,299
31,2018-03-23,5.037,299
32,2018-03-24,15.11,299
33,2018-03-25,20.375,299
34,2018-03-26,21.156,299
35,2018-03-27,26.867,299
36,2018-03-28,21.495,299
37,2018-03-29,22.052,299
38,2018-03-30,35.036,299
39,2018-03-31,4.696,299
40,2018-04-01,30.787,299
41,2018-04-02,35.939,299
42,2018-04-03,27.089,299
43,2018-04-04,36.823,299
44,2018-04-05,29.664,299
45,2018-04-06,16.232,299
46,2018-04-07,24.405,299
47,2018-04-08,18.693,299
48,2018-04-09,16.904,299
49,2018-04-10,28.094,299
50,2018-04-11,25.187,299
51,2018-04-12,26.41,299
52,2018-04-13,6.715,299
53,2018-04-14,8.393,299
54,2018-04-15,11.977,299
55,2018-04-16,17.125,299
56,2018-04-17,17.241,299
57,2018-04-18,7.831,299
58,2018-04-19,15.117,299
59,2018-04-20,17.349,299
60,2018-04-21,9.293,299
61,2018-04-22,11.754,299
62,2018-04-23,16.23,299
63,2018-04-24,6.152,299
64,2018-04-25,3.694,299
65,2018-04-26,5.709,299
66,2018-04-27,9.74,299
67,2018-04-28,19.249,299
68,2018-04-29,0.0,299
69,2018-04-30,0.0,299
70,2018-05-01,0.0,299
71,2018-05-02,0.0,299
72,2018-05-03,0.0,299
73,2018-05-04,15.675,299
74,2018-05-05,4.815,299
75,2018-05-06,4.479,299
76,2018-05-07,2.016,299
77,2018-05-08,6.491,299
78,2018-05-09,1.232,299
79,2018-05-10,0.0,299
80,2018-05-11,14.217,299
81,2018-05-12,16.795,299
82,2018-05-13,15.335,299
83,2018-05-14,3.806,299
84,2018-05-15,0.112,299
85,2018-05-16,2.349,299
86,2018-05-17,3.696,299
87,2018-05-18,16.793,299
88,2018-05-19,5.148,299
89,2018-05-20,4.367,299
90,2018-05-21,2.014,299
91,2018-05-22,19.028,299
92,2018-05-23,8.509,299
93,2018-05-24,2.799,299
94,2018-05-25,2.239,299
95,2018-05-26,0.672,299
96,2018-05-27,3.247,299
97,2018-05-28,4.589,299
98,2018-05-29,2.464,299
99,2018-05-30,10.517,299
100,2018-05-31,2.576,299
101,2018-06-01,2.351,299
102,2018-06-02,4.142,299
103,2018-06-03,0.784,299
104,2018-06-04,2.127,299
105,2018-06-05,0.896,299
106,2018-06-06,2.687,299
107,2018-06-07,3.136,299
108,2018-06-08,1.903,299
109,2018-06-09,3.136,299
110,2018-06-10,3.918,299
111,2018-06-11,0.56,299
