datetime,mean_h,min_h,max_h,homeid
2017-06-27,702.0086206896551,657.0,844.0,133
2017-06-28,686.619305697964,639.0,800.0,133
2017-06-29,657.2149478563152,610.0,744.0,133
2017-06-30,689.5482404692082,654.0,777.0,133
2017-07-01,667.5729682493446,597.0,709.0,133
2017-07-02,658.269146608315,599.0,781.0,133
2017-07-03,641.5299492385786,617.0,680.0,133
2017-07-04,664.8801389693109,638.0,736.0,133
2017-07-05,676.2153262518968,657.0,751.0,133
2017-07-06,712.0898133176539,674.0,808.0,133
2017-07-07,700.753392674741,671.0,743.0,133
2017-07-08,638.06609153385,532.0,716.0,133
2017-07-09,655.4410315850478,613.0,728.0,133
2017-07-10,677.8540828062105,630.0,772.0,133
2017-07-11,671.7994935200358,608.0,714.0,133
2017-07-12,640.5081366368568,567.0,741.0,133
2017-07-13,634.4128612716763,581.0,690.0,133
2017-07-14,610.0468502234395,564.0,649.0,133
2017-07-15,664.5638236147374,615.0,734.0,133
2017-07-16,619.6571264202503,539.0,668.0,133
2017-07-17,609.7763670466022,546.0,680.0,133
2017-07-18,651.2842982330125,609.0,732.0,133
2017-07-19,645.8490131105028,605.0,695.0,133
2017-07-20,596.7387813620072,522.0,663.0,133
2017-07-21,622.8393395549175,578.0,681.0,133
2017-07-22,661.0326825741142,641.0,720.0,133
2017-07-23,679.2584060666762,647.0,713.0,133
2017-07-24,661.4777473714532,636.0,690.0,133
2017-07-25,655.6105720492396,631.0,696.0,133
2017-07-26,637.1624548736462,568.0,712.0,133
2017-07-27,636.3075057077625,573.0,736.0,133
2017-07-28,670.9881922968794,639.0,732.0,133
2017-07-29,663.3120965478529,615.0,743.0,133
2017-07-30,635.8094154458826,565.0,743.0,133
2017-07-31,642.7593705293276,582.0,700.0,133
2017-08-01,652.7481224725592,623.0,683.0,133
2017-08-02,673.3298764028981,624.0,810.0,133
2017-08-03,685.7587961000424,634.0,742.0,133
2017-08-04,675.5596908101918,639.0,738.0,133
2017-08-05,683.0107464420563,656.0,731.0,133
2017-08-06,652.9179389312977,608.0,726.0,133
2017-08-07,651.3083477758521,611.0,729.0,133
2017-08-08,643.570314755992,611.0,712.0,133
2017-08-09,645.6924185644278,598.0,720.0,133
2017-08-10,583.780259667737,539.0,639.0,133
2017-08-11,654.0971233266876,560.0,727.0,133
2017-08-12,665.3760928765945,621.0,828.0,133
2017-08-13,621.2812647475224,587.0,677.0,133
2017-08-14,656.2230383973289,621.0,726.0,133
2017-08-15,659.0465554749819,578.0,749.0,133
2017-08-16,637.0647653000594,576.0,714.0,133
2017-08-17,667.3609784339268,626.0,700.0,133
2017-08-18,648.4889245118042,602.0,694.0,133
2017-08-19,654.2465272700687,630.0,698.0,133
2017-08-20,672.9572192513369,652.0,746.0,133
2017-08-21,656.6828206616367,616.0,682.0,133
2017-08-22,699.9765760555234,668.0,756.0,133
2017-08-23,722.7770397111914,693.0,795.0,133
2017-08-24,669.5821220930233,624.0,783.0,133
2017-08-25,681.382068561383,642.0,771.0,133
2017-08-26,677.943722943723,644.0,732.0,133
2017-08-27,681.9263188490045,639.0,739.0,133
2017-08-28,702.7971141233056,678.0,746.0,133
2017-08-29,647.2661839246922,602.0,734.0,133
