datetime,mean_t,min_t,max_t,homeid
2018-04-30,195.84556865728413,185.0,201.0,335
2018-05-01,193.67659960671608,165.0,216.0,335
2018-05-02,184.6268296363362,171.0,203.0,335
2018-05-03,181.7212787212787,162.0,199.0,335
2018-05-04,193.48768954834503,167.0,205.0,335
2018-05-05,212.07339147605725,185.0,223.0,335
2018-05-06,226.27831470854727,198.0,246.0,335
2018-05-07,237.70773381294964,214.0,255.0,335
2018-05-08,226.99611650485437,211.0,246.0,335
2018-05-09,183.4896814265678,166.0,211.0,335
2018-05-10,,,,335
2018-05-11,168.10447233515998,164.0,191.0,335
2018-05-12,191.58498562131072,159.0,217.0,335
2018-05-13,207.3592995169082,190.0,221.0,335
2018-05-14,218.65162264150945,189.0,240.0,335
2018-05-15,215.59179265658747,201.0,230.0,335
2018-05-16,215.31120534986135,189.0,233.0,335
2018-05-17,210.86538097939118,183.0,229.0,335
2018-05-18,210.95048762190547,183.0,232.0,335
2018-05-19,223.42296872414363,204.0,234.0,335
2018-05-20,202.39310120403513,197.0,223.0,335
2018-05-21,215.90058091286306,181.0,242.0,335
2018-05-22,186.77807971014494,171.0,231.0,335
2018-05-23,172.18692509855452,157.0,190.0,335
2018-05-24,193.47822822822823,169.0,212.0,335
2018-05-25,212.24617940199334,189.0,230.0,335
2018-05-26,202.5737431859479,186.0,213.0,335
2018-05-27,190.8546654389196,177.0,202.0,335
2018-05-28,214.6985559566787,185.0,245.0,335
2018-05-29,207.20465807730426,196.0,240.0,335
2018-05-30,188.53642485460668,183.0,202.0,335
2018-05-31,188.8697342838626,176.0,206.0,335
2018-06-01,223.12314950382302,198.0,240.0,335
2018-06-02,227.0739837398374,215.0,233.0,335
2018-06-03,216.88719879518072,207.0,229.0,335
2018-06-04,206.37799187114257,199.0,220.0,335
2018-06-05,207.9108567986749,182.0,229.0,335
2018-06-06,209.94126506024097,187.0,227.0,335
2018-06-07,217.61365691890262,195.0,235.0,335
2018-06-08,215.45481049562682,194.0,230.0,335
2018-06-09,221.84651515151515,200.0,238.0,335
2018-06-10,221.48013295059675,198.0,240.0,335
2018-06-11,211.88532934131737,200.0,234.0,335
2018-06-12,210.62778954227073,194.0,230.0,335
2018-06-13,207.99697015603695,200.0,226.0,335
2018-06-14,201.4427930020127,193.0,211.0,335
2018-06-15,195.30294296116506,185.0,205.0,335
2018-06-16,182.94020183762615,171.0,199.0,335
2018-06-17,174.13862131246236,153.0,195.0,335
2018-06-18,,,,335
2018-06-19,191.6565680473373,177.0,201.0,335
2018-06-20,186.75384615384615,179.0,196.0,335
2018-06-21,193.00444656185485,170.0,214.0,335
2018-06-22,215.4837447320891,189.0,237.0,335
2018-06-23,217.21331726423622,201.0,229.0,335
2018-06-24,232.34165038328572,202.0,259.0,335
2018-06-25,248.8640456182473,220.0,272.0,335
2018-06-26,243.22377727614747,224.0,262.0,335
2018-06-27,239.94192377495463,218.0,258.0,335
2018-06-28,254.9249584780311,222.0,283.0,335
2018-06-29,233.22210526315789,220.0,271.0,335
2018-06-30,231.0340823405218,200.0,256.0,335
