feedid,weather_type,locationid
1,temperature,Edinburgh
2,conditions,Edinburgh
3,humidity,Edinburgh
4,windspeed,Edinburgh
5,winddirection,Edinburgh
24,windspeed,Midlothian
23,humidity,Midlothian
22,conditions,Midlothian
21,temperature,Midlothian
20,winddirection,WestLothian
19,windspeed,WestLothian
18,humidity,WestLothian
17,conditions,WestLothian
16,temperature,WestLothian
25,winddirection,Midlothian
26,temperature,EastLothian
27,conditions,EastLothian
28,humidity,EastLothian
29,windspeed,EastLothian
30,winddirection,EastLothian
31,temperature,Fife
32,conditions,Fife
33,humidity,Fife
34,windspeed,Fife
35,winddirection,Fife
