homeid,location,residents,hometype,equivalised_income,occupied_days,occupied_nights,entry_floor,income_band_num,start_date,end_date,days_between,electric_appliance,gas_appliance,total_area,room_count,windowsopen
47,Edinburgh,2,flat,missing,2,7,3,0,2016-08-10,2017-05-08,271,6,4,427,5,3
59,Edinburgh,2,flat,above_median,3,7,0,1,2016-10-06,2018-01-28,479,6,1,760,6,5
61,Edinburgh,2,house_or_bungalow,above_median,2,7,0,2,2016-10-06,2017-10-19,378,8,5,685,9,5
62,Edinburgh,2,flat,above_median,1,7,2,3,2016-08-26,2018-06-30,673,7,5,815,7,4
64,Edinburgh,4,flat,above_median,6,7,1,4,2016-10-20,2018-06-30,618,6,2,650,7,4
63,Edinburgh,2,house_or_bungalow,above_median,2,7,0,5,2016-10-28,2018-06-30,610,11,4,725,9,6
65,Edinburgh,2,house_or_bungalow,above_median,7,7,0,5,2016-11-09,2018-06-30,598,10,2,1000,11,8
67,Edinburgh,2,flat,below_median,2,7,0,6,2016-12-05,2018-06-21,563,5,6,580,7,5
66,Edinburgh,3,house_or_bungalow,above_median,4,7,0,4,2016-11-23,2018-06-30,584,4,4,825,8,5
68,Edinburgh,1,house_or_bungalow,above_median,4,7,0,2,2016-11-24,2018-06-30,583,5,4,1125,11,8
70,Edinburgh,1,flat,below_median,2,7,4,7,2016-12-07,2018-06-30,570,5,3,760,8,4
73,Edinburgh,3,flat,missing,7,7,0,0,2016-12-15,2018-06-30,562,4,4,695,8,4
69,Edinburgh,4,house_or_bungalow,below_median,5,7,0,7,2017-01-04,2018-06-30,542,9,2,575,8,7
75,Edinburgh,2,flat,below_median,3,7,0,7,2017-01-10,2018-06-14,520,5,4,730,7,5
72,Edinburgh,2,flat,above_median,7,7,3,8,2017-01-04,2018-06-30,542,5,5,800,7,5
74,Edinburgh,2,flat,below_median,7,7,-1,9,2017-01-05,2018-06-30,541,3,5,1150,9,6
78,Edinburgh,3,flat,below_median,4,7,2,9,2017-01-19,2018-06-30,527,9,5,880,7,5
71,Midlothian,1,flat,below_median,2,7,3,10,2017-01-11,2018-06-30,535,6,4,985,7,4
